                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2087,                 2.9315,                 1.1396,                0.00846,                      1,                0.80309,                 0.4994,                 1.1813,                 2.8213,                 1.0664,                0.00014,                0.00014,                0.00014
                      2,                 1.1152,                  1.397,                 1.0295,                0.98606,                0.84848,                0.94234,                0.63269,                 1.1659,                 1.7918,                 1.0268,             0.00028515,             0.00028515,             0.00028515
                      3,                 1.0843,                0.98077,                 1.0118,                      1,                0.79973,                0.99324,                0.59013,                 1.3164,                 2.1788,                 1.0926,             0.00041446,             0.00041446,             0.00041446
                      4,                 1.0576,                0.88012,                0.98138,                      1,                0.84467,                0.99412,                0.65374,                 1.1739,                 2.0501,                 1.0122,             0.00052793,             0.00052793,             0.00052793
                      5,                 1.0552,                0.85815,                0.99263,                0.96582,                 0.8564,                0.97781,                0.62021,                 1.2997,                 2.1405,                 1.0839,             0.00062556,             0.00062556,             0.00062556
                      6,                  1.009,                0.85138,                0.97031,                0.96942,                0.96098,                0.98971,                0.64007,                 1.2555,                 1.6286,                 1.0619,             0.00070735,             0.00070735,             0.00070735
                      7,                 1.0385,                0.83719,                0.98675,                0.96365,                      1,                  0.995,                0.62368,                 1.2526,                 1.5667,                 1.1458,              0.0007733,              0.0007733,              0.0007733
                      8,                0.97128,                0.79452,                0.97468,                0.95341,                      1,                0.99235,                0.64429,                 1.2166,                 1.3895,                 1.1227,             0.00082341,             0.00082341,             0.00082341
                      9,                0.97224,                  0.762,                0.96724,                      1,                0.98714,                  0.995,                0.64424,                 1.1592,                 1.2506,                 1.0752,             0.00085768,             0.00085768,             0.00085768
                     10,                0.98661,                 0.7771,                0.99813,                0.99212,                      1,                  0.995,                0.67377,                  1.137,                   1.22,                 1.0554,             0.00087611,             0.00087611,             0.00087611
                     11,                 1.0584,                 1.1925,                 1.0359,                0.99191,                      1,                  0.995,                0.64345,                 1.2437,                 1.4675,                 1.1302,              0.0008787,              0.0008787,              0.0008787
                     12,                0.99225,                 1.0999,                 1.0177,                0.99001,                      1,                  0.995,                0.67078,                 1.1874,                 1.0972,                 1.1064,             0.00086545,             0.00086545,             0.00086545
                     13,                0.99446,                 1.0309,                 1.0068,                0.96492,                      1,                0.99324,                0.63195,                 1.2941,                 1.0714,                 1.1531,               0.000812,               0.000812,               0.000812
                     14,                0.96048,                0.99354,                0.98263,                0.96533,                      1,                0.99324,                0.65169,                 1.2176,                0.96376,                 1.0778,               0.000812,               0.000812,               0.000812
                     15,                0.96389,                0.96673,                 1.0124,                0.99194,                      1,                  0.995,                0.67924,                 1.1823,                0.82763,                 1.0788,               0.000713,               0.000713,               0.000713
                     16,                 0.9512,                0.91495,                 1.0053,                 0.9931,                      1,                  0.995,                0.64305,                 1.2056,                0.85507,                 1.1379,               0.000614,               0.000614,               0.000614
                     17,                0.93238,                 0.8602,                0.98271,                 0.9933,                      1,                  0.995,                0.63747,                 1.2373,                0.83575,                 1.1216,               0.000515,               0.000515,               0.000515
                     18,                0.92474,                0.86473,                0.97236,                0.98702,                      1,                  0.995,                0.64284,                  1.196,                  0.794,                 1.1013,               0.000416,               0.000416,               0.000416
                     19,                0.90007,                0.87863,                0.97846,                0.99603,                      1,                  0.995,                0.65707,                 1.1796,                0.75005,                 1.0903,               0.000317,               0.000317,               0.000317
                     20,                0.91098,                 0.8548,                0.97047,                0.99647,                      1,                  0.995,                0.65325,                 1.1952,                0.71942,                 1.0858,               0.000218,               0.000218,               0.000218
